牌号,对应标准,归类,标签,说明,美国UNS,ASTM  型号或牌号,性能,中国ISC,德国W-Nr.,欧标钢号,密度,旧牌号,其他名称,ISO数字牌号,SAE  钢号,AISI  美国钢铁协会
25Mn,GB /T 699-1999 优质碳素结构钢,碳钢,,25Mn与25钢相比具有较高的强度和淬透性，冷变形时塑性好，焊接性中等，可切削性良好。热处理时有回火脆性倾向及过热敏感性。 适用于螺栓.螺母.螺钉.拉杆.小轴.刹车机齿轮。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,冲击韧性  易切削性  焊接性  淬透性,U21252,,,,,,,,
C16E,ISO 683-3-2019 热处理钢、合金钢和易切削钢 -- 第3部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
35Mn,GB /T 699-2015 优质碳素结构钢,碳钢,,强度及淬透性比30Mn高，可加工性良好，冷变形塑性中等，焊接性较差。宜调质处理后使用。 适用于转轴、螺栓、螺母、螺钉等，以及心轴.齿轮等。 本标准适用于公称直径或厚度不大于250mm热轧和锻制优质碳素结构钢棒材，经供需双方协商，也可提供公称直径或厚度大于250mm热轧和锻制优质碳素结构钢棒材。,,,易切削性,U21352,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10120,1012,锻压性,,,,,,,,,
3,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,碳锰钢,本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5515-3M3,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,可用于制作紧固件等,G10300,1030,,,,,,,,,,
S355JR,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0045,7.85 g/cm3,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10840,1084,,,,,,,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,M系列碳素钢,,G10440,M1044,,,,,,,,,,
SGD B,JIS G 3108-2004 轧制碳素钢冷加工棒材,碳钢,,,,,,,,,,,,,,
C55,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  非合金钢结构钢,,,,,,,,,,,,,
SWRM22,JIS G 3505-2017 低碳钢盘条,碳钢,,,,,,,,,,,,,,
T11A,YB /T 5058-2005 弹簧钢、工具钢冷轧钢带,碳钢,,,,,,,,,,,,,,
C80D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0622,,,,,,
15SMn13,DIN EN ISO 683-4-2018 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳钢,,,,易切削性  渗碳性,,,,,,,,,
10S20,DIN 1651-1988 易切削钢技术供货条件,碳钢,渗碳易切削钢,1、本标准适用于易切削钢： ——半成品，如大钢坯、扁钢、棒料 ——热轧线材 ——热轧条钢（圆钢、方钢、六角钢、八角钢和扁钢） ——冷拔钢 结构和供货时热处理状态的组合本标准有规定 2、没有其他规定的话，DIN 17010描述的钢和钢产品一般供货技术条件补充适用于本标准的内容 3、易切削钢的特点是具有良好的可切削性和易裂性。这些性能是由于它具有较高的硫含量，必要时也含其他的附加物（如铅）而产生的 4、牌号后缀字符表示材料供货状态和热处理：K=冷拔；U或U+SH=热作或热作及去皮；K+S=冷拔及消除应力；SH+V=去皮及调质；K+V=冷拔及调质,,,易切削性  渗碳性,,1.0721,,,,,,,
SH,GB /T 4357-2009 冷拉碳素弹簧钢丝,碳钢,,,,,弹性,,,,,,,,,
ML15,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
C45R,EN 10083-2-2006 淬火和回火钢.第2部分:非合金钢交货技术条件,碳钢,,,,,,,,1.1201,,,,,,
E4311,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
SS330,JIS G 3101-2011 普通结构用轧制钢材,碳钢,,,,,,,,,,SS34,,,,
A,GB 712-2011 船舶及海洋工程用结构钢,碳钢,,,,,,U51222,,,,,,,,
S275JR,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0044,,7.85 g/cm3,,,,,
SWRH77A,JIS G 3506-2017 高碳钢线材,碳钢,,用于制造高碳钢丝、油回火钢丝、预应力混凝土用高碳钢丝、镀锌钢丝绳、钢缆等的线材。同时，钢琴线材也包括在其中,,,,,,,,,,,,
1215,国标,碳钢,,,,,易切削性,,,,,,,,,
A686 Type W1-11 Grade C,ASTM A 686-1992(R2004) 碳素工具钢,碳钢,,,T72301,,,,,,,,,,,
B-S45C,Q/BQB 517-2018 冷镦钢盘条,碳钢,,①本标准规定了冷镦钢盘条的尺寸、 外形、 重量及允许偏差、 技术要求、 检验与试验、 包装、 标志和 检验文件等。 ②本标准适用于宝山钢铁股份有限公司生产的冷镦钢无扭控冷热轧盘条。 主要用于制造汽车、 电子、 机械等行业使用的高等级冷成型紧固件、 异形件等。 ③表面质量要求，B-系列冷镦钢严于冷镦钢。 ④非金属夹杂物检验，为必做项目，B-系列冷镦钢规定了更高的合格级别,,,,,,,,,,,,
35SPb20,ISO 683-18-2014 热处理钢、合金钢和易切削钢 -- 第18部分：光面钢制品,碳钢,,,,,,,,,,,,,,
SWCH 25K,JIS G 3507-2-2005 冷镦碳钢 - 第2部分：线材,碳钢,镇静钢,①本标准规定了冷镦用碳钢钢丝，用于制造各种类型的螺钉(如螺栓、螺母、铆钉、机螺钉、自攻螺钉等)和用冷镦制造的各种零件。 ②用于制造本标准钢丝的盘条应符合JIS G 3507-1的规定。,,,锻压性,,,,,,,,,
C15E,DIN EN 10084-2008 表面硬化钢—技术交货条件,碳钢,,是制造DIN 580 - 2018 吊环螺钉、DIN 582 - 2018 吊环螺母的材料之一,,,,,1.1141,,,,,,,
E 275B,ISO 630-1995 结构钢——板料、宽扁钢、钢筋、型材,碳钢,工程用非合金钢  非沸腾钢,,,,,,,,,Fe 430B,,,,
P295GH,EN 10028-2-2009 压力容器用的钢板制品.规定了高温性能的非合金和合金钢,碳钢,,,,,,,,1.0481,,,,,,
1050,SAE J403-2014 碳钢的化学成分,碳钢,,•“Flat Rolled Products”适用于结构型材、板材、带材、薄板和焊管。 •“Long Products”适用于锻造、热轧和冷加工棒材、盘条和无缝管的半成品。,G10500,,,,,,,,,,,
C20E2C,EN 10263-3-2001 冷拉钢杆、棒和丝.第3部分:交货技术条件,碳钢,渗碳钢,,,,,,,1.1152,,,,,,
DC01,GB /T 5213-2019 冷轧低碳钢板及钢带,碳钢,,旧牌号来源于GB/T 5213-2001 ①本标准规定了冷轧低碳钢板及钢带的术语和定义，分类和牌号表示方法，订货内容，尺寸、外形、重量，技术要求，试验方法，检验规则，包装、标志及质量证明书。 ②本标准适用于冷成形用厚度不大于3.5mm的冷轧低碳钢板及钢带。 ③尺寸、外形、重量及允许偏差应符合GB/T 708的规定 ④交货状态： —钢板及钢带以退火后平整状态交货 —钢板及钢带通常涂油供货，所涂油膜应能用碱水溶液或通常的溶液去除，在通常的包装、运输、装卸和储存条件下，供方应保证自制造完成之日起6个月内，钢板及钢带不生锈。如需方要求不涂油供货，应在订货时协商。,,,,,,,,08Al,,,,
,ASTM A29/A29M-2020 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10550,1055,,,,,,,,,,
22Mn6,ISO 683-11-2012 热处理钢、合金钢和易切削钢 -- 第11部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
C55E,ISO 683-1-2016 淬火和回火用非合金钢,碳钢,特种钢,,,,,,,,,,,,,
20Mn5,EN 10269-2006 规定高温和/或低温性能的紧固件用钢和镍合金,碳钢,调质型钢,,,,淬透性,,,1.1133,7.85 g/cm3,,,,,
,SAE J 1268-2010 碳素和合金工字钢用保证淬透性钢带,碳钢,,,H15240,,,,,,,,,,1524H,
E5028-CC,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
TS 410,ISO 9329-1-1989 具有规定室温性能的非合金钢,碳钢,,,,,,,,,,,,,,
17SMn20,ISO 683-4-2016 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳钢,,,,易切削性  渗碳性,,,,,,,,,
SWRCH15A,JIS G 3507-1-2005 冷打或冷镦用碳钢线材,碳钢,铝镇静钢,,,,锻压性,,,,,,,,,
L415/X60,GB /T 14164-2013 石油天然气输送管用热轧宽钢带,碳钢,,,,,,,,,,S415,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10260,1026,,,,,,,,,,
22Mn6,ISO 683-3-2019 热处理钢、合金钢和易切削钢 -- 第3部分：表面硬化钢,碳钢,,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10130,1013,锻压性,,,,,,,,,
U4,AS 1442-2007 碳素钢和碳锰钢 - 热轧棒材和半成品,碳钢,碳锰钢,本标准规定了用于锻造和一般工程用途的在轧制或正火状态下交付的碳钢和碳锰钢棒材、棒材、坯料和板坯的要求。它规定了所有牌号的化学成分要求，以及满足机械性能要求的牌号的抗拉强度要求。该标准允许添加硼和微合金元素来实现特殊性能。,,,,,,,,,,,,
E5516-3M3,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
25,GB /T 699-1999 优质碳素结构钢,碳钢,优质碳素结构钢,焊接性及冷应变塑性高，具有一定强度、硬度。塑性和韧性好。被切削性中等、淬透性、淬硬性差。淬火后低温回火后强韧性好。无回火脆性倾向。 一般用于制造重型和中型机械中负荷不大的冷冲压件、小锻件和机械加工小零件如垫圈、销轴、螺栓、螺母等；进行渗碳或碳氮共渗处理后，可制造摩擦片、活塞销和不重要的齿轮；经正火处理，可用作 -20～475 ℃的压力容器锻件用钢。焊接件、热锻、热冲压件渗碳后用作耐磨件。 本标准适用于直径或厚度不大于250mm的优质碳素结构钢棒材，经供需双方协商，也可提供直径或厚度大于250mm的优质碳素结构钢棒材。,,,冲击韧性  锻压性  焊接性,U20252,,,,,,,,
35SMnPb20,EN 10277-2018 光亮产品-发货技术条件,碳钢,易切削淬火和回火钢,,,,易切削性,,,1.0767,,,,,,
S355K2,EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,镇静钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,,1.0596,7.85 g/cm3,,,,,
C86D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0616,,,,,,
SGD 1,JIS G 3108-2004 轧制碳素钢冷加工棒材,碳钢,,,,,,,,,,,,,,
C55M2,ISO 683-18-1996 热处理钢、合金钢和易切削钢,碳钢,直接淬火钢  高级优质非合金钢结构钢,,,,,,,,,,,,,
T11,YB /T 5058-2005 弹簧钢、工具钢冷轧钢带,碳钢,,,,,,,,,,,,,,
C82D,EN 10016-2-1994 拉制和或冷轧用的非合金钢棒 一第2部分：般用途钢棒的特定要求,碳钢,,,,,,,,1.0626,,,,,,
A622 Type A,ASTM A622/A622M-1997 热轧碳素拉拔钢(DS)、薄板和带材,碳钢,,,,,,,,,,,,,,
17SMn20,DIN EN ISO 683-4-2018 热处理钢、合金钢和易切削钢 -- 第4部分：易切削钢,碳钢,渗碳钢,,,,易切削性  渗碳性,,,,,,,,,
Y15Pb,GB /T 8731-2008 易切削结构钢,碳钢,铅系易切削钢,"Y15Pb易切削结构钢，易切削钢是易被(车、铣、拉、刨、钻等)切削加工的钢种,又叫自动机床加工用钢,简称自动钢。与不含铅的钢相比，含铅钢的切削性能可提高20～50%，而机械性能与热处理性能基本保持不变，对冷、热加工性和焊接性也无影响。铅易切削钢已广泛用作制造精密仪表零件、汽车零件、各类机械的重要零件。但是铅易切削钢的接触疲劳低，故不宜用于承受疲劳应力负荷大的齿轮、轴承等零部件。 主要用于制作受力较小而对尺寸和光洁度要求严格的仪器仪表、手表零件、汽车、机床和其他各种机器上使用的，对尺寸精度和光洁度要求严格，而对机械性能要求相对较低的标准件，如齿轮、轴、螺栓、槽销、阀门、衬套、销钉、管接头、弹簧座垫及机床丝杠、塑料成型模具、外科和牙科手续用具等。 本标准适用于机械切削加工用条钢、盘条、钢丝、钢板及钢带等钢材，其化学成分同样适用于锭、坯及其制品",,,易切削性,U72152,,,,,,,,
SWRCH25A,JIS G 3507-1-2010 冷镦用碳钢 盘条,碳钢,铝镇静钢,,,,,,,,,,,,,
1033,SAE J 403-2001 碳素钢化学成分,碳钢,,,G10330,,,,,,,,,,,
DH,GB /T 4357-2009 冷拉碳素弹簧钢丝,碳钢,,,,,弹性,,,,,,,,,
SM45,GB /T 1299-2014 工模具钢,碳钢,塑料模具用钢,,,,,T10450,,,,,,,,
30Mn5,德标,碳钢,热处理碳素钢,,,,,,1.1173,,,,,,,
E4312,GB /T 5117-2012 非合金钢及细晶粒钢焊条,碳钢,熔敷金属,,,,,,,,,,,,,
,ASTM A29M UNS-2012 热锻碳素钢和合金钢棒材一般要求标准规范,碳钢,非硫处理碳素钢,,G10100,1010,,,,,,,,,,
S275J0,DIN EN 10025-2-2019 热轧结构钢产品 - 第2部分：非合金结构钢的交货技术条件,碳钢,不允许沸腾钢,①本标准说明了扁长产品及半成品的技术供货条件，规定了明确的供货条款下，按照化学成分表及机械性能表中给出热轧非合金优质钢平板和长形产品的组别和等级。此标准也对三种工程类用钢做了补充说明。此标准不适用于中空型材结构和管材。 ②本技术供货条件适用于： ——对于S460JR、J0、J2、K2和S500J0的长形产品，厚度为≥3mm和≤150mm; ——对于质量级别JR、J0、J2和K2的板材产品，厚度≤400mm; ——对于其他强度等级和质量级别的板材和长形产品，厚度≤250mm。 ③除在+N(正火状态)条件下供货的产品外，此标准中说明的钢制品未经热处理。允许进行消除应力退火。在+N条件下供货的产品可进行热成形和/或供货后正火。 ④按照此标准要求转换成轧制品的半成品需要按照订货时的协议。化学成分需要在订货时协商确定，但是也应该在化学成分表的范围内。 ⑤对于特殊要求的等级和产品形式应在订货时做出说明。,,,,,1.0143,,7.85 g/cm3,,,,,
